favorite,underdog,spread,favorite_win_prob,underdog_win_prob,favorite_ev,is_3pt_underdog,underdog_ev,pick,actual_winner
SF,NO,3.0,0.5939351690701413,0.4060648309298587,0.5939351690701413,False,0.8121296618597174,NO,SF
BUF,NYJ,6.0,0.7254673279190624,0.27453267208093757,0.7254673279190624,False,0.5490653441618751,BUF,BUF
PIT,SEA,3.5,0.5739017625561986,0.4260982374438014,0.5739017625561986,False,0.8521964748876028,SEA,SEA
LA,TEN,5.5,0.7298466238417218,0.27015337615827817,0.7298466238417218,False,0.5403067523165563,LA,LA
ARI,CAR,7.0,0.6878754548928138,0.31212454510718624,0.6878754548928138,True,0.9363736353215587,CAR,ARI
DEN,IND,2.5,0.6197111592898987,0.3802888407101013,0.6197111592898987,False,0.7605776814202025,IND,IND
PHI,KC,1.5,0.600084271863105,0.399915728136895,0.600084271863105,False,0.79983145627379,KC,PHI
MIN,ATL,3.5,0.6681834522937035,0.33181654770629654,0.6681834522937035,False,0.6636330954125931,MIN,ATL
HOU,TB,2.5,0.5663938009950829,0.43360619900491715,0.5663938009950829,False,0.8672123980098343,TB,TB
LAC,LV,3.5,0.6684617092457017,0.3315382907542983,0.6684617092457017,False,0.6630765815085966,LAC,LAC
BUF,MIA,12.5,0.9014789289892037,0.09852107101079632,0.9014789289892037,True,0.29556321303238897,BUF,BUF
ATL,CAR,5.5,0.7448900222570629,0.2551099777429371,0.7448900222570629,False,0.5102199554858742,ATL,CAR
GB,CLE,8.5,0.7973225008973593,0.20267749910264066,0.7973225008973593,True,0.608032497307922,GB,CLE
JAX,HOU,1.5,0.48354737050159396,0.516452629498406,0.48354737050159396,False,1.032905258996812,HOU,JAX
MIN,CIN,3.0,0.618822751849488,0.381177248150512,0.618822751849488,False,0.762354496301024,CIN,MIN
PIT,NE,1.5,0.5617378507962385,0.4382621492037615,0.5617378507962385,False,0.876524298407523,NE,PIT
PHI,LA,3.5,0.5763989338781529,0.4236010661218471,0.5763989338781529,False,0.8472021322436942,LA,PHI
TB,NYJ,6.5,0.6880746646598814,0.31192533534011857,0.6880746646598814,False,0.6238506706802371,TB,TB
IND,TEN,6.0,0.7579202640443111,0.24207973595568888,0.7579202640443111,False,0.48415947191137776,IND,IND
WAS,LV,2.5,0.5341588196183095,0.46584118038169053,0.5341588196183095,False,0.9316823607633811,LV,WAS
LAC,DEN,2.5,0.49511011360801915,0.5048898863919808,0.49511011360801915,False,1.0097797727839617,DEN,LAC
SEA,NO,7.5,0.7604201036822671,0.2395798963177329,0.7604201036822671,True,0.7187396889531987,SEA,SEA
